#doc source pos typeindex type topic
#alpha : 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#beta : 0.01
0 ../../../data/input/txt/982_1578_0.txt 0 0 blue 33
0 ../../../data/input/txt/982_1578_0.txt 1 1 birds 81
0 ../../../data/input/txt/982_1578_0.txt 2 2 buccaneering 33
0 ../../../data/input/txt/982_1578_0.txt 3 3 british 33
0 ../../../data/input/txt/982_1578_0.txt 4 4 sky 33
1 ../../../data/input/txt/1608_2368_0.txt 0 5 peril 24
1 ../../../data/input/txt/1608_2368_0.txt 1 6 possession 24
1 ../../../data/input/txt/1608_2368_0.txt 2 7 tis 60
1 ../../../data/input/txt/1608_2368_0.txt 3 8 good 24
1 ../../../data/input/txt/1608_2368_0.txt 4 9 bear 24
1 ../../../data/input/txt/1608_2368_0.txt 5 10 danger 52
1 ../../../data/input/txt/1608_2368_0.txt 6 11 disintegrates 52
1 ../../../data/input/txt/1608_2368_0.txt 7 12 satiety 72
1 ../../../data/input/txt/1608_2368_0.txt 8 13 there's 53
1 ../../../data/input/txt/1608_2368_0.txt 9 14 basis 60
1 ../../../data/input/txt/1608_2368_0.txt 10 15 begets 33
1 ../../../data/input/txt/1608_2368_0.txt 11 16 awe 84
1 ../../../data/input/txt/1608_2368_0.txt 12 17 searches 24
1 ../../../data/input/txt/1608_2368_0.txt 13 18 human 29
1 ../../../data/input/txt/1608_2368_0.txt 14 19 nature's 60
1 ../../../data/input/txt/1608_2368_0.txt 15 20 creases 78
1 ../../../data/input/txt/1608_2368_0.txt 16 21 clean 33
1 ../../../data/input/txt/1608_2368_0.txt 17 22 fire 99
2 ../../../data/input/txt/345_2005_0.txt 0 23 brother 29
2 ../../../data/input/txt/345_2005_0.txt 1 24 ophir 96
2 ../../../data/input/txt/345_2005_0.txt 2 25 bright 96
2 ../../../data/input/txt/345_2005_0.txt 3 26 adieu 67
2 ../../../data/input/txt/345_2005_0.txt 4 27 honor 75
2 ../../../data/input/txt/345_2005_0.txt 5 28 shortest 94
2 ../../../data/input/txt/345_2005_0.txt 6 29 route 89
3 ../../../data/input/txt/679_1813_0.txt 0 30 pile 17
3 ../../../data/input/txt/679_1813_0.txt 1 31 thunder 17
4 ../../../data/input/txt/8_504_0.txt 0 32 paint 3
4 ../../../data/input/txt/8_504_0.txt 1 33 picture 51
4 ../../../data/input/txt/8_504_0.txt 2 34 i'd 18
